,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
131,4781.92307804,4076.02564068,4264.74358975,4194.74358961,4587.05128275,4196.66666653,4166.92307672,4061.66666625,4100.6410253,4460.25641068,4267.30769238,3672.30769106,3975.2564097,4521.92307748
132,4795.38461657,4097.05128171,4276.15384623,4209.10256404,4579.48718019,4212.30769224,4166.41025621,4072.05128171,4113.84615357,4470.64102613,4273.46153853,3689.74358857,3987.17948663,4535.25641089
133,4800.5128217,4114.10256383,4282.43589751,4219.48717942,4533.07692371,4216.6666666,4168.46153833,4069.87179453,4116.66666639,4467.82051331,4274.10256418,3691.02563985,3984.61538406,4537.17948781
134,4808.20512939,4130.38461511,4292.17948725,4232.17948711,4563.58974429,4230.12820506,4168.07692287,4066.02564061,4120.12820485,4471.92307741,4281.923077,3704.48717831,4007.1794867,4550.00000063
135,4813.46153965,4137.94871774,4299.2307693,4240.64102564,4653.4615393,4244.61538462,4167.94871774,4076.15384581,4130.64102537,4489.10256459,4299.87179501,3725.5128194,4033.84615336,4564.87179557
136,4808.97436016,4136.41025621,4295.76923084,4244.61538462,4682.43589834,4250.76923077,4168.46153833,4084.87179453,4140.12820492,4497.82051338,4309.10256425,3733.97435787,4032.30769183,4564.87179557
137,4808.84615503,4142.43589723,4297.17948725,4251.28205129,4664.23077014,4256.41025641,4167.69230749,4083.33333299,4144.74358954,4501.41025697,4310.51282066,3740.12820402,4035.64102516,4566.41025711
138,4813.84615503,4157.3076921,4305.64102578,4261.66666667,4663.07692398,4257.94871795,4165.25641005,4084.23076889,4150.38461518,4515.25641082,4317.82051296,3755.89743486,4056.92307651,4573.84615454
139,4810.38461657,4162.43589723,4305.64102578,4268.71794879,4661.15384706,4253.58974359,4165.38461518,4084.10256376,4150.38461518,4519.48718005,4316.02564117,3762.30769127,4057.69230728,4570.12820583
140,4810.25641144,4170.76923063,4307.69230784,4274.10256418,4643.07692391,4257.94871795,4165.89743569,4082.69230735,4147.3076921,4513.20512876,4315.38461553,3758.97435794,4055.76923036,4567.30769301
141,4821.02564221,4189.61538448,4314.10256425,4283.46153853,4628.71794956,4269.74358982,4163.71794851,4084.61538427,4152.56410236,4516.92307748,4331.66666681,3764.48717845,4076.79487145,4575.0000007
