,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
125,4425.00000035,4447.05128247,4436.66666709,4430.12820548,4453.33333375,4411.79487215,4183.3333332,4440.12820555,4386.02564131,4467.05128254,4412.69230804,4387.8205131,4445.89743632,4421.28205163
126,4401.41025676,4410.12820548,4408.8461542,4399.74359009,4421.92307727,4369.87179515,4183.97435884,4399.10256445,4345.89743611,4440.25641068,4399.10256445,4370.51282079,4425.00000035,4402.43589779
127,4297.69230777,4306.1538463,4299.48717963,4286.66666674,4271.28205136,4298.33333341,4184.2307691,4306.41025655,4268.46153853,4327.17948732,4300.89743604,4270.00000007,4333.97435919,4299.10256418
128,4162.94871774,4189.10256397,4176.5384614,4167.82051262,4164.48717928,4185.89743576,4184.87179474,4182.17948704,4143.58974339,4202.82051275,4158.46153826,4135.76923056,4192.82051269,4159.87179467
129,4084.35897402,4128.84615357,4101.92307658,4117.94871767,4098.8461535,4083.71794837,4188.07692294,4092.69230735,4046.92307651,4123.71794844,4077.94871761,4056.28205087,4106.15384588,4078.07692273
130,4033.84615336,4061.410256,4037.43589702,4050.5128201,4017.82051234,4029.487179,4187.69230756,4034.10256362,3991.66666611,4047.69230728,4029.87179439,3993.07692252,4055.64102523,4024.23076875
131,3983.97435842,3976.66666611,3977.56410201,3959.87179425,3947.94871733,3971.79487124,4185.12820499,3974.99999945,3938.20512751,3980.76923022,3966.0256404,3927.30769162,3991.53846099,3960.12820451
132,3947.94871733,3936.41025572,3941.15384553,3925.38461469,3906.92307623,3920.25640957,4185.12820499,3920.51281982,3881.28205052,3938.33333264,3924.74358905,3892.94871719,3942.69230707,3913.97435828
133,3927.82051213,3935.51281982,3918.5897429,3927.692307,3938.46153784,3912.30769162,4187.4358973,3914.10256341,3876.53846078,3927.82051213,3926.7948711,3884.48717873,3939.74358912,3895.64102488
134,3880.12820437,3902.94871719,3885.64102488,3895.2564095,3946.9230763,3872.17948635,4186.66666653,3888.84615309,3851.15384532,3896.66666591,3888.71794796,3836.7948709,3907.692307,3853.84615302
135,3855.38461455,3874.99999924,3874.99999924,3874.10256334,3859.87179404,3843.07692225,4187.69230756,3852.69230686,3811.7948709,3876.79487103,3844.87179404,3803.71794775,3868.20512738,3833.07692218
136,3866.79487096,3879.23076847,3880.12820437,3878.71794796,3813.84615295,3872.17948635,4189.74358961,3846.28205045,3810.897435,3873.58974283,3848.20512738,3817.05128115,3866.28205045,3840.64102481
137,3941.0256404,3969.10256348,3956.53846092,3958.46153784,3948.07692246,3942.17948656,4185.51282038,3939.48717887,3901.79487103,3950.89743528,3941.15384553,3899.48717873,3959.10256348,3922.692307
138,3990.89743535,4040.5128201,4017.30769183,4020.76923029,4023.97435849,3973.58974304,4183.58974345,4000.89743535,3957.05128143,4006.2820508,3993.33333278,3956.28205066,4019.35897388,3988.33333278
139,4135.51282031,4166.41025621,4159.1025639,4147.56410236,4120.89743562,4132.05128178,4183.97435884,4122.30769203,4081.15384581,4146.02564082,4112.56410229,4099.35897402,4146.79487159,4130.12820485
140,4201.28205122,4205.25641019,4218.4615384,4194.2307691,4195.76923063,4219.23076917,4182.82051269,4183.71794858,4142.94871774,4224.87179481,4176.02564089,4160.64102544,4202.94871788,4182.69230756
